HEALTH;Nutritionists;"weight management/dieting" ["overweight", "childhood obesity"], "diabetes and prediabetes" ["childhood diabetes", "type 1 diabetes"], "autoimmune disorders" ["juvenile rheumatoid arthritis", "celiac disease", "lupus", "scleroderma", "diabetes"], "gastrointestinal (GI) disorders" ["IBS", "irritable bowel syndrome", "celiac disease"], "constipation", "sports nutrition" ["sports supplements"], "vegetarianism" ["vegetarian", "vegan"], "vitamins and supplements" ["sports supplements"], "feeding issues and picky eaters" ["fussy eater", "picky eater", "autism and feeding"], "childhood cancer" ["children and oncology"], "eating disorders" ["disordered eating", "anorexia", "bulimia", "binge eating", "purging"], "general pediatric nutrition";
HEALTH;Ob-Gyns;"preventative exams" ["Pap smear", "Pap smears", "Pap test", "Pap tests", "breast exam", "breast exams", "breast examination", "breast examinations", "gynecological exam", "gynecological exams", "gynecological examination", "gynecological examinations", "pelvic exam", "pelvic exams", "pelvic examination", "pelvic examinations"], "STI tests and treatment" ["STI test", "STI tests", "STD test", "STD tests", "STI treatment", "STD treatment", "herpes test", "herpes treatment", "HPV test", "HPV treatment", "HPV vaccine", "chlamydia test", "chlamydia treatment", "gonorrhea test", "gonorrhea treatment", "trichomoniasis test", "trichomoniasis treatment", "trich test", "trich treatment", "pubic lice test", "pubic lice treatment", "crabs test", "crabs treatment"], "contraception and family planning" ["contraception", "family planning", "birth control", "the patch", "the pill", "progestin-only pill", "combination pill", "condoms", "IUD", "copper IUD", "hormonal IUD", "vaginal ring", "Depo Provera", "emergency contraception", "morning-after pill", "Plan B"], "pelvic disorders (PCOS, endometriosis, chronic pelvic pain, etc.)" ["pelvic disorder", "PCOS", "polycystic ovary syndrome", "endometriosis", "chronic pelvic pain," "pelvic pain," "pelvic inflammatory disease", "pelvic floor dysfunction", "pelvic floor disorders"], "women's continence and urological issues" ["UTIs", "urinary tract infections", "urinary incontinence", "OAB", "overactive bladder", "urogynecology"], "pelvic organ prolapse" ["uterine prolapse", "female genital prolapse"], "gynecologic oncology" ["gynecological oncology", "reproductive cancer", "ovarian cancer", "cervical cancer", "uterine cancer", "endometrial cancer", "vulvar cancer", "vaginal cancer"], "uterine fibroid treatment" ["uterine fibroids", "myoma", "uterine myoma", "fibromyoma", "uterine fibromyoma", "fibroleiomyoma", "uterine fibroleiomyoma", "uterine artery embolization", "uterine artery ligation", "radio frequency ablation", "myomectomy", "hysterectomy"], "high-risk pregnancies", "prenatal diagnostics and care" ["prenatal diagnostics", "prenatal care", "maternal-fetal medicine", "perinatology", "amniocentesis", "amniotic fluid test", "chorionic villus sampling", "sonagrams", "nuchal scan"], "labor and childbirth" ["labor", "childbirth", "delivery", "vaginal birth", "caesarian sections", "c-sections"], "pregancy and postpartum mood" ["pregnancy mood", "postpartum mood", "pregnancy depression", "postpartum depression", "postpartum blues", "pregnancy anxiety", "postpartum anxiety"], "reproductive endocrinology and infertility" ["reproductive endocrinology", "infertility", "hormone testing", "endometriosis", "polycystic ovary syndrome", "PCOS", "uterine fibroids"];
HEALTH;Orthodontists;"temporomandibular joint (TMJ) treatment" ["TMJ", "TMD"], "dental braces" ["braces", "orthodontic braces", "get braces", "metal braces", "dental headgear", "dental appliances"], "diagnosis and treatment planning", "aesthetic braces" ["Invisalign", "invisible dental braces", "clear dental braces"], "dental retainers";
HEALTH;Pediatricians;"general pediatrics" ["kids medicine", "kids doctors", "doctors for teens"], "eating disorders" ["anorexia", "bulimia", "binge eating", "purging"], "sports medicine" ["sports injuries"], "international adoption", "nutrition and weight management" ["childhood obesity", "overweight kid"], "lactation consultations", "child development/developmental delays" ["autism", "asd", "ADHD", "learning disorders", "toilet training", "potty training"], "complementary medicine", "asthma" ["childhood asthma"], "preventive medicine" ["well baby visits", "well child visits"], "feeding problems" ["fussy eater", "picky eater", "child won't eat"], "behavior problems" ["oppositional behavior", "troubled teens"], "sleep" ["infant sleep", "toddler sleep", "big kid sleep", "baby sleep"], "teens and sex" ["contraception and teens", "birth control and teens"];
HEALTH;Pediatric Allergists;"allergy testing" ["allergy test", "allergy skin testing", "allergy skin test", "skin testing", "skin test", "allergy skin prick testing", "allergy skin prick test", "allergy prick testing", "allergy prick test", "prick testing", "prick test", "puncture testing", "puncture test", "allergy blood testing", "allergy blood test", "blood testing", "blood test"], "immunotherapy (allergy shots and drops)" ["immunotherapy", "allergy immunotherapy", "allergen immunotherapy", "desensitization", "allergy desensitization", "hyposensitization", "allergy hyposensitization", "allergy shots", "subcutaneous immunotherapy", "allergy drops", "sublingual immunotherapy", "oral immunotherapy", "rush immunotherapy"], "food allergies and sensitivities" ["food allergies", "food allergy", "food sensitivities", "food sensitivity", "peanut allergies", "peanut allergy", "tree nut allergies", "tree nut allergy", "shellfish allergies", "shellfish allergy", "fish allergies", "fish allergy", "milk allergies", "milk allergy", "lactose intolerance", "tomato allergies", "tomato allergy", "wheat allergies", "wheat allergy", "gluten allergies", "gluten allergy", "wheat intolerance", "gluten intolerance", "celiac disease", "celiac", "soy allergies", "soy allergy", "egg allergies", "egg allergy"], "seasonal allergies" ["pollen allergies", "tree allergies", "grass allergies", "weed allergies", "mold allergies"], "stinging insect allergies" ["stinging insect allergy", "bee sting allergies", "bee sting allergy", "bee allergies", "bee allergy", "wasp sting allergies", "wasp sting allergy", "wasp allergies", "wasp allergy", "mosquito bite allergies", "mosquito bite allergy", "mosquito allergies", "mosquito allergy"], "eczema" ["atopic dermatitis", "atopic eczema", "contact dermatitis", "xerotic eczema", "seborrhoeic dermatitis", "seborrheic dermatitis", "cradle cap"], "recurrent ear infections" ["ear infections", "recurrent otitis", "otitis", "otitis interna", "recurrent otitis media", "otitis media", "myringotomy", "tympanostomy tubes", "ear tubes"], "pet allergies" ["dog allergies", "allergic to dogs", "cat allergies, "allergic to cats", "horse allergies", "allergic to horses"], "drug allergies" ["drug allergy", "medication allergies", "medication allergy", "sulfonamide allergies", "sulfonamide allergy", "sulfa allergies", "sulfa allergy", "salicylate allergies", "salicylate allergy", "aspirin allergies", "aspirin allergy", "penicillin allergies", "penicillin allergy"], "asthma" ["wheezing", "coughing", "shortness of breath", "exercise-induced asthma"], "chronic sinus infections" ["sinus infections", "sinus infection", "chronic sinusitis", "sinusitis"], "allergic rhinitis (hay fever)" ["allergic rhinitis", "hay fever", "seasonal rhinitis", "pollinosis"], "urticaria (hives)" ["urticaria", "hives", "acute urticaria", "cholinergic urticaria", "cold-induced urticaria", "chronic cold urticaria", "heat-induced urticaria", "water-induced urticaria", "water urticaria", "exercise urticaria", "solar urticaria", "dermatographic urticaria", "dermatographism", "skin writing", "chronic idiopathic urticaria", "chronic urticaria", "ordinary urticaria"], "angioedema" ["hereditary angioedema", "acquired angioedema"];
HEALTH;Pediatric Cardiologists;"general pediatric cardiology" ["kids heart doctor"], "acquired heart disease" ["acquired heart diseases", "cardiomyopathy", "cardiomyopathies", "hypertrophic cardiomyopathy", "dilated cardiomyopathy", "myocarditis", "endocarditis", "rheumatic heart disease", "rheumatic fever", "Kawasaki disease"], "congenital heart disease and defects" ["septal defects", "atrial septal defects", "ventricular septal defects", "tetralogy of Fallot", "TOF"], "arrhythmias" ["cardiac arrhythmias"], "cardiac testing and monitoring" ["echocardiography", "EKG", "diagnostic heart catheterization", "Holter monitor"], "sports cardiac screening", "preventative cardiology", "fetal cardiology" ["fetal echocardiography", "fetal assessment for congenital heart disease", "fetal cardiac function", "fetal arrhythmias"], "metabolic syndrome" ["hypertension"], "heart catheterization" ["diagnostic heart catheterization", "valvuloplasty", "angioplasty", "device closure of atrial septal defects", "device closure of ventricular septal defects"], "cardiothoracic surgery", "heart transplants";
HEALTH;Pediatric Dentists;"first dental visit", "routine dental exams and cleaning" ["routine dental checkups", "child teeth"], "infant oral care", "general anesthesia", "oral conscious sedation" ["sedation with nitrous oxide", "laughing gas"], "preventative dentistry" ["fluoride treatment", "sealants"], "dental trauma" ["broken tooth", "dental emergency", "tooth emergency", "cracked tooth", "chipped tooth"], "general pediatric dentistry" ["kids dentist", "child teeth"];
HEALTH;Pediatric Dermatologists;"acne treatment" ["acne scar treatment", "accutane", "isotretinoin"], "allergy testing" ["skin patch testing", "contact dermatitis"], "general pediatric dermatology" ["skin doctor"], "autoimmune and autoinflammatory skin disorders", "vascular lesions and birthmarks" ["laser treatment of birthmarks", "port wine stains", "hemangiomas"], "genetically based skin disease" ["albinism", "albino", "epidermolysis bullosa", "ichthyosis", "neurofibromatosis"], "hives (urticaria)", "skin infections" ["impetigo", "cellulitis", "carbuncle", "folliculitis", "boil"], "skin tag removal", "wart removal", "benign keratosis and mole removal", "atopic dermatitis (eczema)", "rashes" ["skin rash"], "laser treatments" ["laser treatment of birthmarks", "pediatric laser surgery", "laser hair removal", "cosmetic dermatology"], "pediatric psoriasis", "scars", "skin cancer prevention", "skin cancer treatment", "contact dermatitis" ["itchy skin", "poison ivy", "poison oak"];
HEALTH;Pediatric Endocrinologists;"type 1 diabetes" ["pediatric diabetes", "child with diabetes", "child with type 1 diabetes"], "growth disorders" ["growth hormone treatment", "hormone growth", "how to get taller", "how to grow taller", "hormones"], "intersex disorders" ["sexual differentiation disorders", "ambiguous genitalia", "hermaphrodite", "ovotestes", "swyer syndrome", "turner syndrome"], "hypoglycemia/low blood sugar", "hyperglycemia/high blood sugar", "adrenal, thyroid, and pituitary problems" ["hormone problems", "hormones", "adrenal disorders"], "general pediatric endocrinology", "puberty-related disorders" ["hormones", "delayed puberty", "sex hormones"];
HEALTH;Pediatric Gastroenterologists;"stomach or abdominal pain" ["abdominal migraine", "stomach ache"], "acute and chronic pancreatitis", "pediatric nutrition", "poor growth", "feeding disorders" ["swallowing problems", "picky eater", "fussy eater", "slow weight gain"], "general pediatric gastroenterology" ["child GI doctor"], "gastroesophageal reflux disease (GERD) and esophagitis" ["reflux"], "ulcers" ["peptic ulcer", "stomach ulcer", "duodenal ulcer"], "intestinal failure (short bowel)" ["short bowel syndrome"], "liver diseases" ["hepatitis", "hepatitis B", "hepatitis C", "wilson disease", "liver transplant"], "inflammatory bowel disease (IBD)" ["crohns disease", "ulcerative colitis"], "diarrhea" ["chronic diarrhea"], "constipation" ["chronic constipation"], "vomiting" ["cyclic vomiting"], "lactose intolerance", "irritable bowel syndrome (IBS)", "celiac disease", "gastrointestinal bleeding", "eosinophilic disorders";
HEALTH;Pediatric Hemtologists/Oncologists;"leukemias" ["leukemia", "acute leukemias", "acute promyelocytic leukemia", "acute myeloid leukemia (AML)", "childhood cancer", "blood diseases"], "lymphomas" ["Hodgkin's lymphoma"], "general pediatric hematology" ["child blood doctor"], "brain tumors", "bone tumors", "neuroblastoma/solid tumors", "platelet disorders" ["low platelet counts", "low white blood cell counts"], "hemophilia/bleeding disorders" ["coagulation disorders", "clotting disorders", "thrombosis", "thrombotic disorder", "bleeding, bruising, clotting"], "anemia and iron disorders" ["aplastic anemia", "iron overload", "too much iron", "too little iron"], "retinoblastoma and eye tumors", "soft tissue sarcomas" ["sarcoma", "Ewing's sarcoma", "soft tissue tumor", "rhabdomyosarcoma", "desmoid tumor"], "Wilm's tumor", "sickle cell disease" ["sickle cell anemia"], "supportive care of children with cancer" ["palliative care", "end of life care"], "blood and bone marrow tranplantation" ["stem cell transplant", "umbilical cord blood transplant"], "celiac disease/autoimmune disorders";
HEALTH;Pediatric Ophthamologists;"general pediatric ophthamology" ["opthamology", "child eye doctor"], "eye exams and glasses" ["vision correction", "myopia", "refractive errors"], "astigmatism", "blocked tear ducts" ["tear duct surgery"], "chalazia and styes (bumps on eyelid)", "eye infections/conjuctivitis", "scratches/abrasions and foreign bodies in eye" ["eye abrasions", "sand in eye", "dust in eye", "eye scrape", "overuse of contact lenses"], "amblyopia/lazy eye", "eye muscle imbalances (strabismus)" ["crossed eyes"], "cataracts" ["cataract surgery", "congenital cataracts"], "glaucoma" ["congenital glaucoma"], "eye tumors" ["benign eye tumor", "malignant eye tumor", "eye cancer", "retinal tumors", "ocular oncology"], "retinopathy of prematurity", "droopy eyelid (ptosis)", "sticky and crusty eyelids (blepharitis)", "thyroid eye disease", "corneal and external eye disease" ["dry eye", "red eyes", "pink eye", "styes", "conjunctivitis", "itchy eyes", "cornea transplant", "keratoconus", "corneal dystrophies", "genetic cornea diseases", "prk"];
HEALTH;Pediatric Orthopedists;"general pediatric orthopedics" ["pediatric orthopaedics"], "spinal injuries and deformities" ["spinal cord injury", "spinal trauma", "scoliosis", "spinal surgery", "spine surgery", "spinal microsurgery", "minimally invasive spine surgery"], "fractures/broken bones" ["broken finger", "broken wrist", "broken leg", "broken arm", "microfracture", "hairline fracture"], "carpal tunnel syndrome (CPS)", "dislocated joints" ["dislocated finger", "dislocated shoulder", "dislocated hip"], "sports injuries", "club foot", "ankle injuries", "arm injuries", "elbow injuries", "hip injuries", "knee injuries" ["anterior cruciate ligament (ACL)", "ACL repairs", "meniscus repair", "ACL reconstruction"], "shoulder injuries", "unequal leg length", "sprains and strains" ["tendon injuries", "wrist sprain", "ankle sprain"], "joint replacement surgery" ["hip replacement surgery", "knee replacement surgery", "shoulder replacement surgery", "minimally invasive surgery"], "benign and malignant tumors" ["tumor in bones", "tumor in joints", "tumor in ligaments", "tumor in muscles", "tumor in nerves"], "gait disorders" ["knock knee", "bowlegs", "toe walking", "congenital limp"], "cerebral palsy";
HEALTH;Pediatric Otolaryngologists (ENTs);"ear infections" ["chronic ear infections", "swimmer's ear", "surfer's ear"], "tonsil and adenoid problems" ["chronic sore throat", "tonsillitis", "enlarged adenoids", "sleep apnea", "tonsillectomy", "adenoidectomy"], "sinus problems" ["chronic sinusitis", "sinus surgery", "endoscopic sinus surgery"], "thyroid problems" ["thyroid surgery"], "head and neck surgery" ["thyroid surgery"], "sleep and snoring disorders" ["sleep apnea and kids", "sleep apnea and child", "snoring child"], "hearing loss" ["hearing restoration", "hearing test", "cochlear implant"], "speech disorders", "voice disorders" ["vocal strain", "hoarseness in children", "weak cry in baby", "weak cry in toddler", "scratchy throat and children"], "swallowing and airway disorders" ["airway disease"], "facial trauma" ["facial trauma surgery", "craniofacial syndromes"], "head and neck masses" ["head and neck cancers"], "posterior tongue tie", "general pediatric otolaryngology" ["child ENT"];
HEALTH;Pediatric Pulmonologists;"airway, voice, and swallowing abnormalities", "asthma" ["childhood asthma", "exercise-induced asthma", "exercise intolerance"], "chronic or persistent cough" ["pulmonary fibrosis", "bronchitis"], "chronic sinus problems or recurring colds", "croup", "cystic fibrosis" ["CF"], "general pediatric pulmonology" ["child lung doctor"], "home ventilator management", "lung transplant", "neuromuscular diseases", "sleep apnea" ["obstructive sleep apnea"], "pneumonia/infectious lung diseases" ["lung infection", "respiratory infection"], "pulmonary hypertension", "pulmonary rehabilitation", "HIV-related disease", "neuromuscular disorders/Muscular Dystrophy (MD)", "bronchopulmonary dysplasia (BPD)" ["chronic lung disease of childhood"], "bronchiecstasis", "central hypoventilation" ["ondines curse"];
HEALTH;Pediatric Rheumatologists;"general pediatric rheumatology" ["child arthritis doctor"], "juvenile arthritis" ["juvenile idiopathic arthritis", "ultrasound treatment of juvenile arthritis", "rheumatoid arthritis"], "juvenile systemic lupus" ["lupus", "systemic lupus erythematosus", "SLE"], "juvenile vasculitis", "juvenile dermatomyositis", "periodic fever syndromes", "juvenile spondyloarthritis" ["unspecified spondyloarthropathies"], "juvenile sclerodermas", "mixed connective tissue disease" ["progressiva", "fibrodysplasia ossificans progressiva"], "juvenile fibromyalgia and musculoskeletal pain";
